latitude,DOY,daylength
41.4498605580843,1,9.226549832521776
41.4498605580843,2,9.238396826884376
41.4498605580843,3,9.251345996876573
41.4498605580843,4,9.265384752685133
41.4498605580843,5,9.28049955101125
41.4498605580843,6,9.296675941846122
41.4498605580843,7,9.313898617550084
41.4498605580843,8,9.332151463908463
41.4498605580843,9,9.351417612832904
41.4498605580843,10,9.371679496376242
41.4498605580843,11,9.392918901731113
41.4498605580843,12,9.415117026888053
41.4498605580843,13,9.438254536636963
41.4498605580843,14,9.462311618606675
41.4498605580843,15,9.48726803905045
41.4498605580843,16,9.513103198100442
41.4498605580843,17,9.539796184230987
41.4498605580843,18,9.567325827688869
41.4498605580843,19,9.595670752668187
41.4498605580843,20,9.624809428027602
41.4498605580843,21,9.6547202163685
41.4498605580843,22,9.685381421313714
41.4498605580843,23,9.716771332847312
41.4498605580843,24,9.748868270596857
41.4498605580843,25,9.78165062495985
41.4498605580843,26,9.815096895995786
41.4498605580843,27,9.849185730024153
41.4498605580843,28,9.883895953886764
41.4498605580843,29,9.919206606849727
41.4498605580843,30,9.955096970136266
41.4498605580843,31,9.991546594096137
41.4498605580843,32,10.028535323031013
41.4498605580843,33,10.066043317707145
41.4498605580843,34,10.104051075597702
41.4498605580843,35,10.142539448906733
41.4498605580843,36,10.181489660435183
41.4498605580843,37,10.220883317356572
41.4498605580843,38,10.260702422976108
41.4498605580843,39,10.300929386551909
41.4498605580843,40,10.341547031261095
41.4498605580843,41,10.382538600396353
41.4498605580843,42,10.423887761880863
41.4498605580843,43,10.465578611190626
41.4498605580843,44,10.507595672773833
41.4498605580843,45,10.549923900056765
41.4498605580843,46,10.592548674124922
41.4498605580843,47,10.6354558011669
41.4498605580843,48,10.678631508766653
41.4498605580843,49,10.722062441127692
41.4498605580843,50,10.765735653310287
41.4498605580843,51,10.809638604559883
41.4498605580843,52,10.853759150801977
41.4498605580843,53,10.898085536375467
41.4498605580843,54,10.942606385073109
41.4498605580843,55,10.987310690554377
41.4498605580843,56,11.03218780619236
41.4498605580843,57,11.077227434412928
41.4498605580843,58,11.122419615580823
41.4498605580843,59,11.167754716483811
41.4498605580843,60,11.213223418462611
41.4498605580843,61,11.258816705230918
41.4498605580843,62,11.304525850426622
41.4498605580843,63,11.350342404932002
41.4498605580843,64,11.396258183997794
41.4498605580843,65,11.442265254202908
41.4498605580843,66,11.488355920278963
41.4498605580843,67,11.534522711825923
41.4498605580843,68,11.58075836994285
41.4498605580843,69,11.627055833795183
41.4498605580843,70,11.673408227137935
41.4498605580843,71,11.719808844812015
41.4498605580843,72,11.766251139229007
41.4498605580843,73,11.812728706857998
41.4498605580843,74,11.859235274726435
41.4498605580843,75,11.905764686945508
41.4498605580843,76,11.952310891269251
41.4498605580843,77,11.99886792569545
41.4498605580843,78,12.04542990511534
41.4498605580843,79,12.091991008018221
41.4498605580843,80,12.138545463256442
41.4498605580843,81,12.185087536875468
41.4498605580843,82,12.231611519013414
41.4498605580843,83,12.278111710873969
41.4498605580843,84,12.324582411776447
41.4498605580843,85,12.371017906286685
41.4498605580843,86,12.41741245143239
41.4498605580843,87,12.46376026400682
41.4498605580843,88,12.51005550796489
41.4498605580843,89,12.55629228191616
41.4498605580843,90,12.602464606719733
41.4498605580843,91,12.648566413186606
41.4498605580843,92,12.69459152989582
41.4498605580843,93,12.740533671131532
41.4498605580843,94,12.786386424949093
41.4498605580843,95,12.832143241379258
41.4498605580843,96,12.877797420780755
41.4498605580843,97,12.92334210235276
41.4498605580843,98,12.96877025282009
41.4498605580843,99,13.01407465530538
